"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12798","Login with invalid username","","Sun Jun 01 13:17:53 CEST 2025","passed","Sun Jun 01 13:18:05 CEST 2025","Negative Login Tests","login.invalid.test.ts","",""
"","6369","Remove product from cart","","Sun Jun 01 13:18:06 CEST 2025","passed","Sun Jun 01 13:18:13 CEST 2025","Cart Tests","cart.test.ts","",""
"","6991","Add product to cart","","Sun Jun 01 13:17:53 CEST 2025","passed","Sun Jun 01 13:18:00 CEST 2025","Cart Tests","cart.test.ts","",""
"","7227","Login with invalid credentials","","Sun Jun 01 13:18:13 CEST 2025","passed","Sun Jun 01 13:18:20 CEST 2025","Login Tests","login.test.ts","",""
"","11248","Login with empty credentials","","Sun Jun 01 13:18:12 CEST 2025","passed","Sun Jun 01 13:18:24 CEST 2025","Negative Login Tests","login.invalid.test.ts","",""
"","5799","Verify sorting by price (low to high)","","Sun Jun 01 13:18:20 CEST 2025","passed","Sun Jun 01 13:18:26 CEST 2025","","sorting.test.ts","",""
"","6768","Locked out user cannot login","","Sun Jun 01 13:18:07 CEST 2025","passed","Sun Jun 01 13:18:13 CEST 2025","E2E User Flows","e2e.flow.test.ts","",""
"","7743","Verify sorting by price low to high","","Sun Jun 01 13:18:13 CEST 2025","passed","Sun Jun 01 13:18:21 CEST 2025","E2E User Flows","e2e.flow.test.ts","",""
"","12879","Successful login, add item, and complete checkout","","Sun Jun 01 13:17:53 CEST 2025","passed","Sun Jun 01 13:18:05 CEST 2025","E2E User Flows","e2e.flow.test.ts","",""
"","7405","Verify product details and add to cart from product detail page","","Sun Jun 01 13:18:13 CEST 2025","passed","Sun Jun 01 13:18:20 CEST 2025","","productDetails.test.ts","",""
"","5418","Login with valid credentials","","Sun Jun 01 13:18:07 CEST 2025","passed","Sun Jun 01 13:18:13 CEST 2025","Login Tests","login.test.ts","",""
"","13705","Complete checkout (happy path)","","Sun Jun 01 13:17:53 CEST 2025","passed","Sun Jun 01 13:18:06 CEST 2025","","checkout.test.ts","",""
"","6058","Login with invalid password","","Sun Jun 01 13:18:06 CEST 2025","passed","Sun Jun 01 13:18:12 CEST 2025","Negative Login Tests","login.invalid.test.ts","",""
"","4900","Complete purchase flow with multiple items","","Sun Jun 01 13:18:21 CEST 2025","passed","Sun Jun 01 13:18:26 CEST 2025","E2E User Flows","e2e.flow.test.ts","",""
"","4872","Locked out user","","Sun Jun 01 13:18:24 CEST 2025","passed","Sun Jun 01 13:18:29 CEST 2025","Negative Login Tests","login.invalid.test.ts","",""
